$..1...||..2...||..3...||..4...||..5...||..6...||..7...||..8...||..9...||..10..|
LOAD     1       1.0000  1.0000  101     1.0000  102     
FORCE    102     11769   0       8.33+03 -0.00   0.27    0.96   
FORCE    102     11909   0       2.86+03 -0.07   0.30    0.95   
FORCE    102     11889   0       703.42  -0.12   0.31    0.94   
FORCE    102     12230   0       3.23+03 0.04    0.25    0.97   
FORCE    102     12209   0       2.32+03 -0.08   0.29    0.95   
FORCE    102     11805   0       6.19+03 -0.00   0.28    0.96   
FORCE    102     11945   0       1.74+03 -0.06   0.32    0.95   
FORCE    102     12228   0       3.18+03 0.04    0.27    0.96   
FORCE    102     11925   0       400.58  -0.10   -0.26   -0.96  
FORCE    102     12207   0       423.82  -0.03   0.27    0.96   
FORCE    102     11841   0       7.03+03 -0.01   0.29    0.96   
FORCE    102     12226   0       2.40+03 0.03    0.29    0.96   
FORCE    102     11981   0       2.21+03 -0.07   0.33    0.94   
FORCE    102     11961   0       398.24  -0.11   -0.32   -0.94  
FORCE    102     11877   0       6.38+03 -0.02   0.30    0.95   
FORCE    102     12205   0       1.25+03 -0.07   0.30    0.95   
FORCE    102     12224   0       3.28+03 0.03    0.29    0.96   
FORCE    102     12017   0       905.90  -0.08   0.35    0.93   
FORCE    102     11997   0       556.29  -0.05   -0.30   -0.95  
FORCE    102     11913   0       5.24+03 -0.01   0.30    0.95   
FORCE    102     12222   0       2.71+03 0.02    0.31    0.95   
FORCE    102     12203   0       39.918  0.54    -0.61   0.58   
FORCE    102     12033   0       810.66  -0.01   -0.33   -0.95  
FORCE    102     11949   0       6.13+03 -0.03   0.31    0.95   
FORCE    102     12220   0       2.29+03 0.02    0.32    0.95   
FORCE    102     12053   0       1.01+03 -0.08   0.36    0.93   
FORCE    102     12201   0       383.24  -0.01   0.23    0.97   
FORCE    102     12218   0       3.11+03 0.01    0.33    0.94   
FORCE    102     11985   0       4.63+03 -0.03   0.32    0.95   
FORCE    102     12069   0       921.70  0.01    -0.33   -0.94  
FORCE    102     12089   0       153.57  -0.20   0.59    0.79   
FORCE    102     12216   0       2.26+03 -0.00   0.35    0.94   
FORCE    102     12199   0       613.66  0.09    -0.39   -0.92  
FORCE    102     12021   0       4.62+03 -0.03   0.32    0.95   
FORCE    102     12105   0       929.05  0.02    -0.33   -0.94  
FORCE    102     12125   0       158.54  -0.23   0.61    0.76   
FORCE    102     12214   0       2.19+03 -0.00   0.35    0.94   
FORCE    102     12057   0       4.67+03 -0.05   0.33    0.94   
FORCE    102     12197   0       734.34  0.08    0.09    0.99   
FORCE    102     12141   0       1.03+03 0.03    -0.34   -0.94  
FORCE    102     12212   0       2.77+03 -0.01   0.36    0.93   
FORCE    102     12161   0       809.81  -0.00   -0.21   -0.98  
FORCE    102     12093   0       3.34+03 -0.04   0.33    0.94   
FORCE    102     12210   0       1.87+03 -0.03   0.38    0.92   
FORCE    102     12177   0       1.18+03 0.04    -0.31   -0.95  
FORCE    102     12162   0       223.21  -0.04   -0.15   -0.99  
FORCE    102     12129   0       4.12+03 -0.05   0.33    0.94   
FORCE    102     12208   0       1.98+03 -0.03   0.38    0.92   
FORCE    102     12178   0       605.62  0.02    -0.30   -0.95  
FORCE    102     12165   0       2.99+03 -0.06   0.32    0.94   
FORCE    102     12206   0       2.40+03 -0.04   0.39    0.92   
FORCE    102     12166   0       2.72+03 -0.02   0.27    0.96   
FORCE    102     12204   0       1.48+03 -0.06   0.40    0.91   
FORCE    102     12202   0       1.64+03 -0.06   0.40    0.91   
FORCE    102     12200   0       2.36+03 -0.07   0.38    0.92   
FORCE    102     12198   0       1.06+03 -0.04   -0.15   -0.99  
FORCE    102     12251   0       1.57+04 -0.02   0.07    1.00   
FORCE    102     12253   0       2.51+04 -0.04   0.07    1.00   
FORCE    102     12255   0       1.75+04 -0.05   0.07    1.00   
FORCE    102     12257   0       1.36+04 -0.08   0.07    0.99   
FORCE    102     11045   0       5.62+03 0.03    -0.07   -1.00  
FORCE    102     11046   0       1.03+04 0.04    0.10    0.99   
FORCE    102     10991   0       2.18+03 0.08    -0.04   -1.00  
FORCE    102     10992   0       6.39+03 0.03    0.10    0.99   
FORCE    102     10937   0       7.61+03 -0.05   0.08    1.00   
FORCE    102     10938   0       1.19+04 -0.02   0.09    1.00   
FORCE    102     10883   0       1.23+04 -0.03   0.09    1.00   
FORCE    102     12259   0       1.56+04 -0.09   0.08    0.99   
FORCE    102     10884   0       1.08+04 -0.02   0.10    0.99   
FORCE    102     11069   0       288.54  -0.62   -0.24   -0.75  
FORCE    102     11015   0       6.97+03 -0.01   0.09    1.00   
FORCE    102     10961   0       7.79+03 0.02    0.12    0.99   
FORCE    102     10829   0       1.05+04 -0.02   0.11    0.99   
FORCE    102     12261   0       1.35+04 -0.10   0.08    0.99   
FORCE    102     10830   0       1.32+04 -0.05   0.10    0.99   
FORCE    102     10907   0       5.58+03 -0.00   0.13    0.99   
FORCE    102     10775   0       7.82+03 -0.01   0.12    0.99   
FORCE    102     12263   0       1.17+04 -0.11   0.10    0.99   
FORCE    102     10853   0       4.67+03 -0.01   0.15    0.99   
FORCE    102     10776   0       1.65+04 -0.06   0.12    0.99   
FORCE    102     10721   0       5.19+03 -0.02   0.14    0.99   
FORCE    102     12265   0       9.99+03 -0.11   0.12    0.99   
FORCE    102     10799   0       4.88+03 -0.00   0.16    0.99   
FORCE    102     10722   0       1.19+04 -0.05   0.14    0.99   
FORCE    102     11051   0       9.33+03 0.05    0.10    0.99   
FORCE    102     11052   0       1.48+04 0.03    0.10    0.99   
FORCE    102     10997   0       1.28+04 0.04    0.10    0.99   
FORCE    102     10998   0       1.84+04 0.04    0.11    0.99   
FORCE    102     10943   0       5.16+03 0.01    0.11    0.99   
FORCE    102     12267   0       2.59+03 -0.11   0.13    0.99   
FORCE    102     10944   0       2.00+04 0.04    0.11    0.99   
FORCE    102     10685   0       5.92+03 -0.05   0.16    0.99   
FORCE    102     10745   0       5.25+03 0.00    0.18    0.98   
FORCE    102     12269   0       8.77+03 -0.11   0.15    0.98   
FORCE    102     10889   0       1.42+04 0.04    0.12    0.99   
FORCE    102     10649   0       5.96+03 -0.04   0.17    0.99   
FORCE    102     10890   0       1.59+04 0.03    0.12    0.99   
FORCE    102     12271   0       2.69+03 -0.10   0.17    0.98   
FORCE    102     10835   0       1.42+04 0.03    0.13    0.99   
FORCE    102     10613   0       7.39+03 -0.05   0.18    0.98   
FORCE    102     10701   0       3.36+03 -0.00   0.19    0.98   
FORCE    102     10836   0       1.40+04 0.03    0.13    0.99   
FORCE    102     12273   0       6.25+03 -0.11   0.16    0.98   
FORCE    102     10665   0       4.32+03 -0.01   0.19    0.98   
FORCE    102     10781   0       1.38+04 0.03    0.14    0.99   
FORCE    102     10577   0       4.72+03 -0.05   0.19    0.98   
FORCE    102     12275   0       4.60+03 -0.10   0.20    0.97   
FORCE    102     10782   0       1.19+04 0.03    0.15    0.99   
FORCE    102     10629   0       1.68+03 -0.02   0.23    0.97   
FORCE    102     10541   0       7.23+03 -0.04   0.20    0.98   
FORCE    102     10727   0       1.32+04 0.03    0.16    0.99   
FORCE    102     12277   0       3.28+03 -0.11   0.18    0.98   
FORCE    102     10593   0       2.94+03 -0.02   0.21    0.98   
FORCE    102     10728   0       9.70+03 0.03    0.16    0.99   
FORCE    102     10505   0       4.91+03 -0.06   0.21    0.97   
FORCE    102     12279   0       6.10+03 -0.11   0.21    0.97   
FORCE    102     10689   0       1.12+04 0.02    0.18    0.98   
FORCE    102     10557   0       2.39+03 -0.02   0.24    0.97   
FORCE    102     10469   0       4.91+03 -0.04   0.23    0.97   
FORCE    102     10653   0       9.21+03 0.03    0.19    0.98   
FORCE    102     12281   0       1.77+03 -0.09   0.22    0.97   
FORCE    102     10521   0       937.01  -0.05   0.25    0.97   
FORCE    102     10433   0       5.32+03 -0.06   0.24    0.97   
FORCE    102     10617   0       1.04+04 0.02    0.20    0.98   
FORCE    102     12283   0       5.04+03 -0.11   0.23    0.97   
FORCE    102     10485   0       2.78+03 -0.03   0.25    0.97   
FORCE    102     10581   0       9.93+03 0.02    0.21    0.98   
FORCE    102     10397   0       3.34+03 -0.06   0.25    0.97   
FORCE    102     12285   0       2.03+03 -0.09   0.26    0.96   
FORCE    102     10449   0       531.09  -0.09   0.32    0.94   
FORCE    102     10545   0       8.06+03 0.02    0.22    0.98   
FORCE    102     12252   0       2.19+03 0.10    0.07    0.99   
FORCE    102     12254   0       1.96+04 0.07    0.11    0.99   
FORCE    102     12256   0       1.73+04 0.06    0.11    0.99   
FORCE    102     10361   0       5.03+03 -0.05   0.27    0.96   
FORCE    102     12258   0       1.34+04 0.06    0.12    0.99   
FORCE    102     12260   0       1.18+04 0.06    0.13    0.99   
FORCE    102     12262   0       9.84+03 0.06    0.15    0.99   
FORCE    102     12264   0       8.21+03 0.06    0.16    0.98   
FORCE    102     10413   0       1.19+03 -0.07   0.26    0.96   
FORCE    102     12266   0       8.58+03 0.06    0.18    0.98   
FORCE    102     12287   0       2.98+03 -0.09   0.25    0.96   
FORCE    102     10509   0       9.66+03 0.01    0.23    0.97   
FORCE    102     10325   0       2.99+03 -0.07   0.28    0.96   
FORCE    102     12268   0       853.65  0.04    0.38    0.92   
FORCE    102     10473   0       7.76+03 0.01    0.25    0.97   
FORCE    102     10377   0       809.40  -0.09   0.31    0.95   
FORCE    102     12289   0       2.67+03 -0.09   0.28    0.96   
FORCE    102     12270   0       3.74+03 0.05    0.23    0.97   
FORCE    102     10289   0       3.11+03 -0.05   0.29    0.96   
FORCE    102     10437   0       7.47+03 0.01    0.25    0.97   
FORCE    102     10341   0       127.37  -0.42   -0.22   -0.88  
FORCE    102     12291   0       1.26+03 -0.07   0.27    0.96   
FORCE    102     12272   0       2.48+03 0.05    0.25    0.97   
FORCE    102     10401   0       8.33+03 -0.00   0.27    0.96   
FORCE    102     10253   0       2.86+03 -0.07   0.30    0.95   
FORCE    102     10305   0       703.42  -0.12   0.31    0.94   
FORCE    102     12274   0       3.23+03 0.04    0.25    0.97   
FORCE    102     12293   0       2.32+03 -0.08   0.29    0.95   
FORCE    102     10365   0       6.19+03 -0.00   0.28    0.96   
FORCE    102     10217   0       1.74+03 -0.06   0.32    0.95   
FORCE    102     12276   0       3.18+03 0.04    0.27    0.96   
FORCE    102     10269   0       400.58  -0.10   -0.26   -0.96  
FORCE    102     12295   0       423.82  -0.03   0.27    0.96   
FORCE    102     10329   0       7.03+03 -0.01   0.29    0.96   
FORCE    102     12278   0       2.40+03 0.03    0.29    0.96   
FORCE    102     10181   0       2.21+03 -0.07   0.33    0.94   
FORCE    102     10233   0       398.24  -0.11   -0.32   -0.94  
FORCE    102     10293   0       6.38+03 -0.02   0.30    0.95   
FORCE    102     12297   0       1.25+03 -0.07   0.30    0.95   
FORCE    102     12280   0       3.28+03 0.03    0.29    0.96   
FORCE    102     10145   0       905.90  -0.08   0.35    0.93   
FORCE    102     10197   0       556.29  -0.05   -0.30   -0.95  
FORCE    102     10257   0       5.24+03 -0.01   0.30    0.95   
FORCE    102     12282   0       2.71+03 0.02    0.31    0.95   
FORCE    102     12299   0       39.918  0.54    -0.61   0.58   
FORCE    102     10161   0       810.66  -0.01   -0.33   -0.95  
